"sex","la","year","e50","e65","e80"
"male","E06000024",2005,77.3453453453454,80.8412322274881,86.1130952380952
"male","E06000024",2006,78.1229418221734,81.0542929292929,85.7734693877551
"male","E06000024",2007,78.4521158129176,81.1681415929203,85.9939271255061
"male","E06000024",2008,78.4488888888889,81.468112244898,86.0818363273453
"male","E06000024",2009,78.1891327063741,80.9152744630072,86.1069306930693
"male","E06000024",2010,78.4563318777293,81.6489226869455,86.2504892367906
"male","E06000024",2011,78.9245283018868,81.1759906759907,86.3177570093458
"male","E06000024",2012,78.7736040609137,81.2258796821793,86.0992779783393
"male","E06000024",2013,78.9202518363064,81.2538011695906,86.2622641509434
"male","E06000025",2001,NA,NA,NA
"male","E06000025",2002,76.1921664626683,79.6195335276968,85.4447592067989
"male","E06000025",2003,76.0773672055427,79.1788617886179,85.0524934383202
"male","E06000025",2004,76.3717805151176,79.6241699867198,85.4534005037783
"male","E06000025",2005,76.8566552901024,79.4844155844156,85.5473145780051
"male","E06000025",2006,77.2009080590238,80.0302233902759,85.7004716981132
"male","E06000025",2007,77.6466591166478,80.25,85.4257206208426
"male","E06000025",2008,77.8954393770857,80.7416879795396,85.3893617021277
"male","E06000025",2009,77.3993435448578,80.3059418457648,85.5226781857451
"male","E06000025",2010,77.1935110081112,80.3836734693878,85.8870588235294
"male","E06000025",2011,77.5493107104984,80.3681652490887,85.9589632829374
"male","E06000025",2012,78.3845303867403,80.9561952440551,85.9551020408163
"male","E06000025",2013,77.9158215010142,80.8843457943925,86.1389432485323
"male","E06000026",2001,NA,NA,NA
"male","E06000026",2002,76.463167587477,79.5466377440347,85.5
"male","E06000026",2003,75.9981718464351,79.3894967177243,85.4224137931034
"male","E06000026",2004,76.3056042031524,79.5748194014448,85.4038834951456
"male","E06000026",2005,76.4053554939982,79.8087912087912,85.4061224489796
"male","E06000026",2006,76.1856884057971,79.7886710239651,85.4725050916497
"male","E06000026",2007,76.1259105098855,79.8213836477987,85.5219399538106
"male","E06000026",2008,76.6132542037587,79.9590163934426,85.6680942184154
"male","E06000026",2009,76.6494360902256,80.3119369369369,85.8369351669941
"male","E06000026",2010,77.3363363363363,80.4232121922626,85.979674796748
"male","E06000026",2011,77.624644549763,80.2605405405405,86.0712909441233
"male","E06000026",2012,76.7643622200584,80.0987370838117,85.9111570247934
"male","E06000026",2013,77.3578847969783,80.598233995585,85.9906191369606
"male","E06000027",2001,NA,NA,NA
"male","E06000027",2002,78.390243902439,81.0520984081042,86.0494117647059
"male","E06000027",2003,78.5377008652658,81.0319888734353,86.1372997711671
"male","E06000027",2004,77.8795620437956,81.2962962962963,85.9376443418014
"male","E06000027",2005,77.3748411689962,80.40058910162,86.079575596817
"male","E06000027",2006,77.2078947368421,80.5269645608629,85.9706666666667
"male","E06000027",2007,78.2223684210526,81.2850609756098,86.2107843137255
"male","E06000027",2008,78.311901504788,81.2712933753943,86.2798982188295
"male","E06000027",2009,77.8733850129199,81.1888217522659,86.1630170316302
"male","E06000027",2010,78.8188010899183,81.4799382716049,86.1253012048193
"male","E06000027",2011,78.3294289897511,81.4533106960951,86.1390374331551
"male","E06000027",2012,78.2751396648045,81.1003184713376,86.7176781002639
"male","E06000027",2013,78.8088426527958,81.4055636896047,86.5198135198135
"male","E06000028",2001,NA,NA,NA
"male","E06000028",2002,78.6395468589083,81.3108265424913,86.1947069943289
"male","E06000028",2003,78.6538049303323,81.2141997593261,85.9089147286822
"male","E06000028",2004,79.1075740944018,81.5948275862069,86.0321361058601
"male","E06000028",2005,78.9914320685434,81.6256906077348,85.9472573839662
"male","E06000028",2006,78.9746682750302,81.45,86.1132075471698
